0.02 [[1, '0.02', 'SN']]
0.04 [[1, '0.04', 'SN']]
0.06 [[1, '0.06', 'SN']]
0.061 [[1, '0.061', 'SN']]
0.069 [[1, '0.069', 'SN']]
0.081 [[1, '0.081', 'SN']]
0.087 [[1, '0.087', 'SN']]
0.099 [[1, '0.099', 'SN']]
0.111 [[1, '0.111', 'SN']]
0.14 [[1, '0.14', 'SN']]
0.154 [[1, '0.154', 'SN']]
0.17 [[1, '0.17', 'SN']]
0.182 [[1, '0.182', 'SN']]
0.19 [[1, '0.19', 'SN']]
0.208 [[1, '0.208', 'SN']]
0.217 [[1, '0.217', 'SN']]
0.229 [[1, '0.229', 'SN']]
0.23 [[1, '0.23', 'SN']]
0.24 [[1, '0.24', 'SN']]
0.259 [[1, '0.259', 'SN']]
0.260 [[1, '0.260', 'SN']]
0.261 [[1, '0.261', 'SN']]
0.267 [[1, '0.267', 'SN']]
0.273 [[1, '0.273', 'SN']]
0.302 [[1, '0.302', 'SN']]
0.333 [[1, '0.333', 'SN']]
0.35 [[1, '0.35', 'SN']]
0.351 [[1, '0.351', 'SN']]
0.379 [[1, '0.379', 'SN']]
0.39 [[1, '0.39', 'SN']]
0.41 [[1, '0.41', 'SN']]
0.43 [[1, '0.43', 'SN']]
0.46 [[1, '0.46', 'SN']]
0.472 [[1, '0.472', 'SN']]
0.50 [[1, '0.50', 'SN']]
0.6 [[1, '0.6', 'SN']]
0.60 [[1, '0.60', 'SN']]
0.638 [[1, '0.638', 'SN']]
0.68 [[1, '0.68', 'SN']]
0.73 [[1, '0.73', 'SN']]
0.79 [[1, '0.79', 'SN']]
0.917 [[1, '0.917', 'SN']]
0.98 [[1, '0.98', 'SN']]
0001 [[1, '0001', 'SN']]
0002 [[1, '0002', 'SN']]
001 [[1, '001', 'SN']]
0027 [[1, '0027', 'SN']]
0030 [[1, '0030', 'SN']]
0052 [[1, '0052', 'SN']]
007 [[1, '007', 'SN']]
008 [[1, '008', 'SN']]
0114 [[1, '0114', 'SN']]
0127 [[1, '0127', 'SN']]
0145 [[1, '0145', 'SN']]
015 [[1, '015', 'SN']]
0170 [[1, '0170', 'SN']]
018 [[1, '018', 'SN']]
019 [[1, '019', 'SN']]
0206 [[1, '0206', 'SN']]
024 [[1, '024', 'SN']]
026 [[1, '026', 'SN']]
0304 [[1, '0304', 'SN']]
033 [[1, '033', 'SN']]
